pl_name,score_mean,score_std,rank_median,rank_p05,rank_p95,top10_probability
LHS 1140 c,0.5375,0.0,160.0,150.0,169.0,0.0
LHS 1478 b,0.5375,0.0,161.0,151.0,170.0,0.0
LHS 1678 b,0.5375,0.0,162.0,152.0,171.0,0.0
LHS 1678 c,0.5375,0.0,163.0,153.0,172.0,0.0
LP 791-18 d,0.5375,0.0,164.0,154.0,173.04999999999995,0.0
LP 890-9 b,0.5373,0.004472135954999596,165.0,155.0,175.0,0.0
LTT 3780 b,0.5375,0.0,166.0,156.0,175.04999999999995,0.0
TOI-1468 b,0.5315,0.02377246854075197,168.0,157.95,889.05,0.0
TOI-270 b,0.5379499999999999,0.005797821095801236,170.0,160.0,179.0,0.0
TOI-406 c,0.5295,0.02715649001435568,171.0,161.0,912.0,0.0
TOI-1685 b,0.5131999999999999,0.04371306055776293,171.0,159.0,918.0,0.0
TOI-5720 b,0.5375,0.0,172.0,162.0,181.0,0.0
BD+14 4559 b,0.5287982506033453,0.04666247735370408,172.5,98.0,869.0999999999999,0.0
TOI-6008 b,0.5375,0.0,173.0,163.0,182.0,0.0
TOI-771 b,0.5295,0.027156490014355678,174.0,164.0,915.0,0.0
Wolf 327 b,0.5381,0.006688008591339864,175.0,164.0,184.0,0.0
HD 20329 b,0.535,0.0,176.0,166.0,186.0,0.0
HIP 29442 d,0.552625,0.04224323444900291,177.5,18.0,621.1499999999999,0.0
HIP 29442 c,0.5431,0.033770117584683734,178.0,20.0,618.0999999999999,0.0
K2-291 b,0.5506,0.03632187436124721,179.0,19.0,190.0,0.0
Kepler-37 d,0.5345500000000001,0.004087286608943325,181.0,171.0,192.0,0.0
TOI-1136 b,0.5384,0.018141063816457557,182.0,170.0,192.0,0.0
TOI-1799 b,0.56024,0.046648629017135713,183.0,21.950000000000003,195.0,0.0
HD 6061 b,0.47340000000000004,0.08315810568478679,183.0,169.0,3319.2999999999997,0.0
TOI-1742 b,0.53384,0.01295337716427343,185.0,175.0,195.04999999999995,0.0
TOI-733 b,0.535,0.0,187.0,178.0,197.0,0.0
TOI-1443 b,0.5150399999999999,0.033669952947144526,190.0,175.0,1379.4999999999995,0.0
HD 147379 b,0.5201070010449139,0.05402470268259553,191.0,101.95,881.1499999999999,0.0
Kepler-1012 b,0.5296,0.006318214912406725,192.0,182.0,203.0,0.0
Kepler-1027 b,0.5299999999999999,0.0,193.0,183.0,203.0,0.0
Kepler-1047 c,0.5299999999999999,0.0,196.0,186.0,207.0,0.0
Kepler-1028 b,0.5136,0.03706464049670925,196.0,185.0,951.0,0.0
Kepler-1035 b,0.5109999999999999,0.047681727047039504,196.0,185.0,961.2999999999997,0.0
Kepler-1055 b,0.5297,0.006708203932499343,198.0,187.0,208.04999999999995,0.0
Kepler-1067 b,0.5279999999999999,0.0199196783903342,199.0,189.0,211.0,0.0
Kepler-1081 b,0.5284999999999999,0.0073558287386851105,202.0,190.95,216.0,0.0
Kepler-1082 b,0.5039999999999999,0.05701316516388124,204.0,193.0,1761.0,0.0
Kepler-1095 b,0.514075,0.04108781195906111,206.0,194.0,966.0999999999999,0.0
Kepler-1087 b,0.4750249999999999,0.09052320573506611,207.0,193.95,2389.0,0.0
Kepler-1114 b,0.5267,0.01622919509855907,209.0,198.0,224.0,0.0
Kepler-1117 b,0.5291999999999999,0.008917344788453118,210.0,199.0,221.0,0.0
Kepler-1098 b,0.48264999999999997,0.07172091940683077,210.0,196.0,1773.6999999999994,0.0
Kepler-1107 b,0.51055,0.031153066093951437,212.0,198.0,952.05,0.0
Kepler-1139 b,0.5258749999999999,0.019930286189998123,213.0,202.0,228.0,0.0
Kepler-1141 b,0.5293,0.011169580074383989,214.0,203.0,225.0,0.0
Kepler-1108 b,0.4879,0.04938337204839026,216.0,198.95,977.05,0.0
Kepler-1126 c,0.49199999999999994,0.048587255971970326,217.0,202.0,979.0,0.0
Kepler-1156 b,0.5211999999999999,0.0283578619905194,218.0,206.95,969.0,0.0
Kepler-1185 b,0.5283999999999999,0.012560076075487902,221.0,209.0,233.0,0.0
Kepler-1173 b,0.50725,0.04754032672721823,224.0,210.0,974.1999999999998,0.0
Kepler-119 c,0.4987499999999999,0.0694439156069821,224.0,212.0,2375.1,0.0
Kepler-1142 b,0.4818199999999999,0.056855542433529,224.0,207.0,993.05,0.0
Kepler-115 b,0.46229999999999993,0.07584996000569624,225.0,207.0,1776.05,0.0
Kepler-1215 b,0.5227999999999999,0.02587467870324171,227.0,213.95,977.0,0.0
Kepler-1193 b,0.49129999999999996,0.06477423409663449,227.0,213.0,1776.05,0.0
Kepler-1179 b,0.510775,0.024238644739291694,230.0,212.0,683.0,0.0
Kepler-1235 b,0.5271999999999999,0.02352161841936333,231.0,219.0,244.04999999999995,0.0
Kepler-1149 b,0.4659,0.07400773127570622,231.5,208.0,2908.0,0.0
Kepler-1216 b,0.5009999999999999,0.04542164960131906,232.0,217.0,1000.0999999999999,0.0
Kepler-1240 b,0.5256,0.021249543199145342,233.0,220.95,249.04999999999995,0.0
Kepler-1222 b,0.5183749999999999,0.0173608661750702,234.0,219.0,677.05,0.0
Kepler-1258 b,0.5280999999999999,0.017377974219567462,235.0,222.95,249.0,0.0
Kepler-1253 b,0.5120999999999999,0.040097451430514144,235.0,223.0,1008.05,0.0
Kepler-1198 b,0.482525,0.05008946780081752,235.0,215.0,1001.05,0.0
Kepler-1205 b,0.49812499999999993,0.04290079055986405,236.0,215.0,1445.2999999999997,0.0
Kepler-1264 b,0.5126,0.04755800171426575,239.0,225.0,1759.0,0.0
Kepler-1231 b,0.48529999999999995,0.05615350775210509,239.0,220.0,1014.1499999999999,0.0
Kepler-1296 b,0.5264,0.011058235353720603,242.0,229.0,673.0,0.0
Kepler-1297 b,0.5270999999999999,0.020430977698078924,243.0,230.0,257.0,0.0
Kepler-130 b,0.5209999999999999,0.03565870281112791,244.0,231.0,1751.2499999999998,0.0
Kepler-1290 b,0.49099999999999994,0.048823841871263436,247.5,231.0,1024.0,0.0
Kepler-1311 c,0.5149,0.03604981523332277,249.0,235.0,1014.0999999999999,0.0
Kepler-1311 b,0.5126,0.03847337262057487,249.0,235.0,1020.0,0.0
Kepler-1312 c,0.5120999999999999,0.051086295806590534,250.0,236.0,1821.1999999999753,0.0
Kepler-1328 b,0.5257,0.026417907025789257,251.0,237.0,267.0,0.0
Kepler-1303 b,0.48949999999999994,0.05244283078745844,252.0,235.0,1032.05,0.0
Kepler-1332 b,0.5221999999999999,0.02684401613776914,252.5,239.0,1010.05,0.0
